,job,marital,education,default,housing,loan,campaign,previous,previous_outcome
30273,1,1,1.0,0,1,0,1.0,1.0,0
10931,1,0,1.0,0,1,0,2.0,0.0,3
44334,5,0,2.0,0,0,0,1.0,3.0,1
30863,4,0,3.0,0,0,1,2.0,0.0,3
38810,0,1,2.0,0,1,0,9.0,0.0,3
1526,0,0,2.0,0,1,1,2.0,0.0,3
38147,0,0,2.0,0,1,0,2.0,0.0,3
2307,1,0,1.0,0,1,0,2.0,0.0,3
33169,0,0,2.0,0,1,0,2.0,1.0,2
26747,9,0,2.0,0,1,0,4.0,0.0,3
20770,5,0,3.0,0,0,0,2.0,0.0,3
39114,7,1,2.0,0,1,0,2.0,0.0,3
2238,1,1,2.0,0,1,0,4.0,0.0,3
22832,10,0,2.0,0,0,0,4.0,0.0,3
958,7,0,2.0,0,1,0,2.0,0.0,3
11300,4,0,3.0,0,0,0,6.0,0.0,3
14748,0,0,2.0,0,1,1,4.0,0.0,3
22078,3,0,2.0,1,0,0,2.0,0.0,3
21770,1,0,2.0,0,0,0,7.0,0.0,3
18487,6,0,1.0,0,1,0,21.0,0.0,3
35750,1,0,2.0,0,1,0,2.0,1.0,0
35711,2,0,2.0,0,1,0,1.0,1.0,0
43642,5,2,2.0,0,0,0,1.0,3.0,1
9511,3,0,1.0,0,0,0,1.0,0.0,3
8681,9,1,2.0,0,0,0,6.0,0.0,3
42197,3,2,1.0,0,0,0,2.0,1.0,1
25361,2,0,2.0,0,0,1,2.0,0.0,3
28541,9,1,2.0,0,0,0,2.0,0.0,3
25583,0,0,1.0,0,0,0,1.0,0.0,3
35223,0,1,2.0,0,1,0,1.0,0.0,3
2538,1,0,1.0,0,1,0,1.0,0.0,3
8066,4,0,2.0,0,1,0,1.0,0.0,3
24789,9,0,2.0,0,1,0,1.0,0.0,3
29422,5,0,2.0,0,0,0,1.0,0.0,3
36205,1,2,1.0,0,1,0,1.0,2.0,0
37208,4,0,3.0,0,1,0,2.0,0.0,3
33831,9,0,2.0,0,0,0,1.0,0.0,3
42389,0,1,2.0,0,1,0,1.0,1.0,0
39415,4,1,3.0,0,0,0,2.0,0.0,3
20861,4,1,3.0,0,0,0,6.0,0.0,3
2475,1,0,1.0,0,1,0,1.0,0.0,3
5982,1,0,2.0,0,1,0,4.0,0.0,3
2737,1,0,2.0,0,1,0,2.0,0.0,3
7478,9,0,2.0,0,1,0,3.0,0.0,3
40096,7,1,3.0,0,0,0,1.0,0.0,3
23147,9,1,2.0,1,0,1,14.0,0.0,3
40222,9,1,3.0,0,0,0,7.0,0.0,3
12367,5,0,2.0,0,0,1,1.0,0.0,3
25050,1,0,2.0,0,0,0,1.0,2.0,1
6742,10,0,2.0,0,1,0,1.0,0.0,3
854,1,2,2.0,0,1,0,1.0,0.0,3
306,4,0,3.0,0,1,0,2.0,0.0,3
14515,7,0,2.0,0,1,0,4.0,0.0,3
4396,4,0,3.0,0,1,0,10.0,0.0,3
11376,9,2,2.0,0,0,0,1.0,0.0,3
9549,1,0,1.0,0,1,0,2.0,0.0,3
30404,10,2,2.0,0,0,0,2.0,0.0,3
13259,4,1,3.0,0,1,1,4.0,0.0,3
5443,0,1,2.0,0,1,0,2.0,0.0,3
13881,1,0,2.0,0,0,0,1.0,0.0,3
5726,1,0,2.0,0,1,0,2.0,0.0,3
42297,4,0,3.0,0,1,0,8.0,1.0,1
2740,0,1,2.0,0,1,0,5.0,0.0,3
31057,5,0,3.0,0,0,0,1.0,0.0,3
31807,4,1,3.0,0,0,0,1.0,0.0,3
43636,4,1,2.0,0,1,0,4.0,3.0,0
20737,9,1,3.0,0,0,0,9.0,0.0,3
37796,0,2,2.0,0,1,0,1.0,0.0,3
8878,7,0,2.0,0,0,0,7.0,0.0,3
20407,10,0,2.0,0,0,0,2.0,0.0,3
10219,5,0,1.0,0,0,0,2.0,0.0,3
24394,4,0,2.0,0,1,0,1.0,0.0,3
8212,1,2,1.0,0,1,0,6.0,0.0,3
29463,0,1,2.0,0,0,0,2.0,0.0,3
34138,3,0,1.0,0,0,0,1.0,1.0,0
26903,4,1,2.0,0,1,0,6.0,3.0,0
29167,0,1,2.0,0,1,0,1.0,0.0,3
14414,9,1,2.0,0,0,0,4.0,0.0,3
19311,5,0,1.0,0,1,0,4.0,0.0,3
6710,6,0,3.0,0,1,0,1.0,0.0,3
3098,1,1,2.0,0,1,0,1.0,0.0,3
42227,8,1,2.0,0,0,0,1.0,1.0,1
17244,7,0,2.0,0,1,0,2.0,0.0,3
228,1,0,2.0,0,0,0,2.0,0.0,3
44044,3,0,1.0,0,0,0,1.0,0.0,3
4898,0,1,2.0,0,1,0,1.0,0.0,3
35589,9,2,2.0,0,1,0,2.0,0.0,3
5764,5,0,2.0,0,0,0,1.0,0.0,3
39507,7,0,2.0,0,1,1,1.0,0.0,3
23296,4,1,3.0,0,0,0,6.0,0.0,3
2295,1,0,1.0,0,1,0,9.0,0.0,3
36554,7,0,2.0,0,1,0,1.0,0.0,3
1067,7,2,2.0,0,1,1,4.0,0.0,3
1161,1,0,1.0,0,1,0,2.0,0.0,3
26514,9,0,2.0,0,1,0,2.0,2.0,0
42924,5,0,1.0,0,0,0,2.0,0.0,3
30816,0,1,2.0,0,0,0,2.0,0.0,3
18443,0,2,2.0,0,1,1,2.0,0.0,3
10100,1,0,2.0,0,0,1,1.0,0.0,3
24600,4,0,3.0,0,0,0,2.0,0.0,3
14039,0,0,2.0,0,1,0,1.0,0.0,3
20927,4,0,3.0,0,1,0,5.0,0.0,3
27741,4,2,3.0,0,0,1,1.0,0.0,3
20300,4,1,3.0,0,0,0,3.0,0.0,3
29959,1,0,2.0,0,0,1,2.0,0.0,3
18518,6,0,3.0,0,1,1,4.0,0.0,3
26899,1,1,2.0,0,1,0,2.0,2.0,2
45150,4,0,2.0,0,0,0,3.0,13.0,1
37575,4,1,2.0,0,1,0,8.0,3.0,0
1605,7,0,1.0,0,1,0,1.0,0.0,3
23027,7,0,2.0,0,0,1,6.0,0.0,3
44621,4,1,3.0,0,1,0,1.0,2.0,0
31158,10,1,3.0,0,1,0,1.0,0.0,3
41081,4,1,3.0,0,0,0,5.0,1.0,0
2656,1,0,1.0,0,1,0,3.0,0.0,3
11809,4,0,2.0,0,0,0,3.0,0.0,3
40601,5,0,2.0,0,0,0,1.0,0.0,3
12133,9,0,1.0,0,0,0,3.0,0.0,3
40128,0,2,2.0,0,0,0,1.0,7.0,1
16735,4,1,2.0,1,0,0,4.0,0.0,3
31775,4,0,3.0,0,1,0,3.0,0.0,3
2755,1,0,2.0,0,1,0,4.0,0.0,3
23755,1,0,1.0,0,0,0,15.0,0.0,3
44362,11,0,3.0,0,0,0,2.0,1.0,0
22135,9,0,2.0,0,0,0,8.0,0.0,3
23600,7,0,2.0,0,0,0,14.0,0.0,3
23813,9,0,2.0,0,0,0,5.0,0.0,3
43756,4,0,3.0,0,0,0,2.0,5.0,2
37152,0,2,2.0,0,1,0,3.0,0.0,3
628,0,1,2.0,0,1,0,4.0,0.0,3
30835,0,0,2.0,0,1,0,7.0,13.0,0
7241,1,0,2.0,0,1,0,1.0,0.0,3
34579,1,0,2.0,0,1,0,2.0,0.0,3
10137,9,0,2.0,0,0,0,1.0,0.0,3
25379,6,2,2.0,0,1,0,1.0,0.0,3
31918,4,0,3.0,0,0,0,1.0,0.0,3
6816,4,0,3.0,0,1,0,1.0,0.0,3
13947,10,1,3.0,1,1,0,1.0,0.0,3
16548,6,0,1.0,0,1,0,9.0,0.0,3
43365,5,2,1.0,0,0,0,1.0,0.0,3
27997,4,0,3.0,0,0,0,2.0,0.0,3
27224,9,1,2.0,0,1,0,1.0,0.0,3
23945,2,0,2.0,0,0,0,16.0,0.0,3
22038,9,1,3.0,0,0,0,3.0,0.0,3
28219,0,1,2.0,0,1,0,1.0,3.0,0
38436,9,0,1.0,0,1,0,2.0,1.0,0
3606,1,0,2.0,0,1,1,3.0,0.0,3
15186,9,0,3.0,0,1,0,3.0,0.0,3
23985,4,1,3.0,0,0,0,15.0,0.0,3
