,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,passed_days,previous,previous_outcome,offer_status
0,58.0,4,0,3.0,0,2143.0,1,0,2,5,5,261.0,1.0,-1,0.0,3,0
1,44.0,9,1,2.0,0,29.0,1,0,2,5,5,151.0,1.0,-1,0.0,3,0
2,33.0,2,0,2.0,0,2.0,1,1,2,5,5,76.0,1.0,-1,0.0,3,0
3,47.0,1,0,2.0,0,1506.0,1,0,2,5,5,92.0,1.0,-1,0.0,3,0
4,33.0,11,1,2.0,0,1.0,0,0,2,5,5,198.0,1.0,-1,0.0,3,0
5,35.0,4,0,3.0,0,231.0,1,0,2,5,5,139.0,1.0,-1,0.0,3,0
6,28.0,4,1,3.0,0,447.0,1,1,2,5,5,217.0,1.0,-1,0.0,3,0
7,42.0,2,2,3.0,1,2.0,1,0,2,5,5,380.0,1.0,-1,0.0,3,0
8,58.0,5,0,1.0,0,121.0,1,0,2,5,5,50.0,1.0,-1,0.0,3,0
9,43.0,9,1,2.0,0,593.0,1,0,2,5,5,55.0,1.0,-1,0.0,3,0
10,41.0,0,2,2.0,0,270.0,1,0,2,5,5,222.0,1.0,-1,0.0,3,0
11,29.0,0,1,2.0,0,390.0,1,0,2,5,5,137.0,1.0,-1,0.0,3,0
12,53.0,9,0,2.0,0,6.0,1,0,2,5,5,517.0,1.0,-1,0.0,3,0
13,58.0,9,0,2.0,0,71.0,1,0,2,5,5,71.0,1.0,-1,0.0,3,0
14,57.0,7,0,2.0,0,162.0,1,0,2,5,5,174.0,1.0,-1,0.0,3,0
15,51.0,5,0,1.0,0,229.0,1,0,2,5,5,353.0,1.0,-1,0.0,3,0
16,45.0,0,1,2.0,0,13.0,1,0,2,5,5,98.0,1.0,-1,0.0,3,0
17,57.0,1,0,1.0,0,52.0,1,0,2,5,5,38.0,1.0,-1,0.0,3,0
18,60.0,5,0,1.0,0,60.0,1,0,2,5,5,219.0,1.0,-1,0.0,3,0
19,33.0,7,0,2.0,0,0.0,1,0,2,5,5,54.0,1.0,-1,0.0,3,0
20,28.0,1,0,2.0,0,723.0,1,1,2,5,5,262.0,1.0,-1,0.0,3,0
21,56.0,4,0,3.0,0,779.0,1,0,2,5,5,164.0,1.0,-1,0.0,3,0
22,32.0,1,1,1.0,0,23.0,1,1,2,5,5,160.0,1.0,-1,0.0,3,0
23,25.0,7,0,2.0,0,50.0,1,0,2,5,5,342.0,1.0,-1,0.0,3,0
24,40.0,5,0,1.0,0,0.0,1,1,2,5,5,181.0,1.0,-1,0.0,3,0
25,44.0,0,0,2.0,0,-372.0,1,0,2,5,5,172.0,1.0,-1,0.0,3,0
26,39.0,4,1,3.0,0,255.0,1,0,2,5,5,296.0,1.0,-1,0.0,3,0
27,52.0,2,0,2.0,0,113.0,1,1,2,5,5,127.0,1.0,-1,0.0,3,0
28,46.0,4,1,2.0,0,-246.0,1,0,2,5,5,255.0,2.0,-1,0.0,3,0
29,36.0,9,1,2.0,0,265.0,1,1,2,5,5,348.0,1.0,-1,0.0,3,0
30,57.0,9,0,2.0,0,839.0,0,1,2,5,5,225.0,1.0,-1,0.0,3,0
31,49.0,4,0,3.0,0,378.0,1,0,2,5,5,230.0,1.0,-1,0.0,3,0
32,60.0,0,0,2.0,0,39.0,1,1,2,5,5,208.0,1.0,-1,0.0,3,0
33,59.0,1,0,2.0,0,0.0,1,0,2,5,5,226.0,1.0,-1,0.0,3,0
34,51.0,4,0,3.0,0,10635.0,1,0,2,5,5,336.0,1.0,-1,0.0,3,0
35,57.0,9,2,2.0,0,63.0,1,0,2,5,5,242.0,1.0,-1,0.0,3,0
36,25.0,1,0,2.0,0,-7.0,1,0,2,5,5,365.0,1.0,-1,0.0,3,0
37,53.0,9,0,2.0,0,-3.0,0,0,2,5,5,1666.0,1.0,-1,0.0,3,0
38,36.0,0,2,2.0,0,506.0,1,0,2,5,5,577.0,1.0,-1,0.0,3,0
39,37.0,0,1,2.0,0,0.0,1,0,2,5,5,137.0,1.0,-1,0.0,3,0
40,44.0,7,2,2.0,0,2586.0,1,0,2,5,5,160.0,1.0,-1,0.0,3,0
41,50.0,4,0,2.0,0,49.0,1,0,2,5,5,180.0,2.0,-1,0.0,3,0
42,60.0,1,0,2.0,0,104.0,1,0,2,5,5,22.0,1.0,-1,0.0,3,0
43,54.0,5,0,2.0,0,529.0,1,0,2,5,5,1492.0,1.0,-1,0.0,3,0
44,58.0,5,0,2.0,0,96.0,1,0,2,5,5,616.0,1.0,-1,0.0,3,0
45,36.0,0,1,1.0,0,-171.0,1,0,2,5,5,242.0,1.0,-1,0.0,3,0
46,58.0,6,0,3.0,0,-364.0,1,0,2,5,5,355.0,1.0,-1,0.0,3,0
47,44.0,9,0,2.0,0,0.0,1,0,2,5,5,225.0,2.0,-1,0.0,3,0
48,55.0,9,2,2.0,0,0.0,0,0,2,5,5,160.0,1.0,-1,0.0,3,0
49,29.0,4,1,3.0,0,0.0,1,0,2,5,5,363.0,1.0,-1,0.0,3,0
50,54.0,1,0,2.0,0,1291.0,1,0,2,5,5,266.0,1.0,-1,0.0,3,0
51,48.0,4,2,3.0,0,-244.0,1,0,2,5,5,253.0,1.0,-1,0.0,3,0
52,32.0,4,0,3.0,0,0.0,1,0,2,5,5,179.0,1.0,-1,0.0,3,0
53,42.0,0,1,2.0,0,-76.0,1,0,2,5,5,787.0,1.0,-1,0.0,3,0
